ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
ARE_EG_fo..pc,United Arab Emirates,Eggs,Per-capita food consumption [kg/p/year],ARE,EG,FO..PC,2.913314842,2.631867031,3.947446874,4.02361243,4.652799563,4.67240594,4.575342399,4.527051435,4.616410627,4.737525851,4.698017222,4.658816131,4.615197208,4.569684141,4.534245132,4.49941296,4.467857116,4.437705165,4.410287971,4.384080992,4.358447391
ARE_FH_fo..pc,United Arab Emirates,Fish,Per-capita food consumption [kg/p/year],ARE,FH,FO..PC,25.38334872,25.16328954,26.39778953,26.1386844,28.81998027,28.28034261,29.84757626,29.84250849,31.1239208,31.24957082,31.90495505,31.55414772,31.72980002,31.96318277,32.15814176,32.41868521,32.57979589,32.87065085,33.15732162,33.43799511,33.67080998
ARE_MA_fo..pc,United Arab Emirates,Maize,Per-capita food consumption [kg/p/year],ARE,MA,FO..PC,0.60454495,0.576536712,0.561769152,0.666203086,0.661458257,0.764667823,0.755155639,0.744669401,0.733628409,0.722984554,0.717598431,0.706892621,0.694880311,0.682273313,0.670983637,0.661073005,0.652752374,0.645720014,0.63970193,0.634258061,0.629126253
ARE_MK_fo..pc,United Arab Emirates,Milk,Per-capita food consumption [kg/p/year],ARE,MK,FO..PC,6.447958686,8.058767489,14.42852958,12.55117389,17.69663758,15.13679389,12.96771469,16.90114746,10.50376917,9.156874131,9.200072132,9.212877542,9.221279088,9.229944708,9.255417462,9.284489653,9.319327047,9.35799894,9.401054753,9.446477212,9.493318393
ARE_OCG_fo..pc,United Arab Emirates,Other Coarse Grains,Per-capita food consumption [kg/p/year],ARE,OCG,FO..PC,6.52909E-05,6.2266E-05,6.06711E-05,5.99583E-05,5.95312E-05,5.89887E-05,5.82549E-05,5.74459E-05,5.65942E-05,5.57731E-05,5.5186E-05,5.42471E-05,5.32446E-05,5.21998E-05,5.1265E-05,5.04302E-05,4.97062E-05,4.90727E-05,4.85086E-05,4.79862E-05,4.7485E-05
ARE_OOS_fo..pc,United Arab Emirates,Other Oilseeds,Per-capita food consumption [kg/p/year],ARE,OOS,FO..PC,3.26454E-05,0.034592203,0.041570917,0.001110338,0.00110243,2.94943E-05,2.91274E-05,2.8723E-05,2.82971E-05,2.78865E-05,2.77169E-05,2.73404E-05,2.69294E-05,2.64966E-05,2.6061E-05,2.56753E-05,2.53436E-05,2.50572E-05,2.48008E-05,2.45614E-05,2.43296E-05
ARE_PK_fo..pc,United Arab Emirates,Pork,Per-capita food consumption [kg/p/year],ARE,PK,FO..PC,2.28314864,2.17737161,2.396821791,2.428443489,3.056995481,2.466425141,2.372828472,2.233072048,2.2260382,2.181347684,2.148296413,2.118392627,2.091984639,2.067485869,2.043143033,2.019130354,1.995187543,1.971298553,1.947625492,1.924443524,1.901929706
ARE_PS_fo..pc,United Arab Emirates,Pulses,Per-capita food consumption [kg/p/year],ARE,PS,FO..PC,21.32066577,24.86764271,27.25479215,26.43993497,30.45443198,31.08216863,31.61638364,32.11267281,32.5856443,33.07626135,33.35030488,33.60480678,33.84455033,34.0965306,34.36398838,34.64307265,34.93882151,35.24219064,35.55674626,35.87627401,36.20084828
ARE_PT_fo..pc,United Arab Emirates,Poultry,Per-capita food consumption [kg/p/year],ARE,PT,FO..PC,35.77938832,36.84546965,37.73467432,35.98755788,39.15746892,46.39871082,46.65389293,44.49761369,39.33381202,45.58520899,45.84597027,46.06295191,46.36566381,46.72644611,47.14324186,47.57454966,48.01932751,48.47624882,48.95130897,49.44403988,49.95539969
ARE_RI_fo..pc,United Arab Emirates,Rice,Per-capita food consumption [kg/p/year],ARE,RI,FO..PC,76.06836761,76.49716256,76.64126651,76.05818564,77.31035914,77.66840321,77.78103078,77.97752445,78.60304378,79.11516696,79.44435961,79.81014632,80.33054289,80.92946861,81.54136101,82.12598471,82.66717425,83.17462678,83.65908011,84.13472425,84.61175708
ARE_RT_fo..pc,United Arab Emirates,Roots tubers,Per-capita food consumption [kg/p/year],ARE,RT,FO..PC,2.408990717,3.12402183,2.588407542,3.513555075,3.553003236,3.585685726,3.606524704,3.622171308,3.634416143,3.647880199,3.617145968,3.581928678,3.544990592,3.507931098,3.472647064,3.439927641,3.40966337,3.382025764,3.355630928,3.330521156,3.305268537
ARE_SH_fo..pc,United Arab Emirates,Sheep,Per-capita food consumption [kg/p/year],ARE,SH,FO..PC,10.54871692,9.706848828,9.807882675,9.586729026,10.71522689,10.89038822,11.22726567,11.50498268,11.66359125,11.30334709,11.33436186,11.25166751,11.21088492,11.17525254,11.15065732,11.13497029,11.1271049,11.13100538,11.14312734,11.15828038,11.17736009
ARE_SU_fo..pc,United Arab Emirates,Sugar,Per-capita food consumption [kg/p/year],ARE,SU,FO..PC,21.03816522,20.98593734,22.02135158,23.87227821,25.90711641,27.52804291,28.37227721,28.6165826,29.34513823,29.95221851,30.17335644,30.27145662,30.46871129,30.68107223,30.94373947,31.21115078,31.49100636,31.75968977,32.0148928,32.27244132,32.52841449
ARE_VL_fo..pc,United Arab Emirates,Vegetable oils,Per-capita food consumption [kg/p/year],ARE,VL,FO..PC,7.027126461,6.613302486,7.561182632,10.59430021,9.134489868,10.20424689,11.79470745,12.01585386,12.79818752,13.30284702,13.40079309,13.39611261,13.41089077,13.43295587,13.46968675,13.5065377,13.55364741,13.60661935,13.66372734,13.72255714,13.78050277
ARE_WT_fo..pc,United Arab Emirates,Wheat,Per-capita food consumption [kg/p/year],ARE,WT,FO..PC,66.4999445,80.71513974,101.1184473,102.7063091,103.6284603,104.8687301,105.7217894,106.381343,106.9001395,106.8984306,106.5448729,105.9523461,105.3923184,104.8302971,104.3660222,103.9223206,103.5181389,103.1422888,102.7899458,102.4470007,102.1132265
ARG_BT_fo..pc,Argentina,Butter,Per-capita food consumption [kg/p/year],ARG,BT,FO..PC,0.88028705,0.653428733,0.790320954,0.782064021,0.797419962,0.858958623,0.873393379,0.383748921,0.563556175,0.56430592,0.563037303,0.5620278,0.561288797,0.560846573,0.560409195,0.560112222,0.55995887,0.559865206,0.559863404,0.559927049,0.560091756
ARG_BV_fo..pc,Argentina,Beef and Veal,Per-capita food consumption [kg/p/year],ARG,BV,FO..PC,39.62151386,38.40235942,40.47606983,44.05616431,40.95582462,41.07889434,39.04144939,39.574717,38.88086761,37.98513533,36.89019997,36.84653151,36.90064907,36.75718906,36.63166685,36.51482078,36.37804323,36.25732003,36.13584198,36.02607523,35.92059356
ARG_EG_fo..pc,Argentina,Eggs,Per-capita food consumption [kg/p/year],ARG,EG,FO..PC,14.26973484,14.63206322,14.78371057,15.20348097,15.85925237,16.39381498,17.18096281,17.04025225,17.25505313,17.46784925,18.11451495,18.11175297,18.11752101,18.10956058,18.11889364,18.1238022,18.12438815,18.13678774,18.14349757,18.14791302,18.14658039
ARG_FH_fo..pc,Argentina,Fish,Per-capita food consumption [kg/p/year],ARG,FH,FO..PC,5.778592448,5.936291103,5.785263716,7.077713747,5.884822033,7.209684988,6.074058137,7.294295906,7.048801893,6.937725805,7.109509924,7.183580506,7.17082536,7.181550651,7.127925292,7.055099508,6.956786999,6.896450502,6.833828908,6.769323275,6.692029077
ARG_MA_fo..pc,Argentina,Maize,Per-capita food consumption [kg/p/year],ARG,MA,FO..PC,33.01076437,31.76147663,32.51021167,36.12851388,29.99729722,33.83600521,35.68363568,36.0223695,36.19507906,36.25966509,36.44185897,36.50758449,36.58141752,36.65806088,36.73292351,36.80708335,36.87958978,36.95346504,37.02746037,37.10176654,37.175706
