ARCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OUTPUT,0",countries,products,elements,,,,2010A,2011A,2012A,2013A,2014A,2015A,2016A,2017A,2018A,2019A,2020A,2021A,2022A,2023A,2024A,2025A,2026A,2027A,2028A,2029A,2030A
ARE_MK_fo..pc,United Arab Emirates,Milk,Per-capita food consumption [kg/p/year],ARE,MK,FO..PC,6.447958686,8.058767489,14.42852958,12.55117389,17.69663758,15.13679389,12.96771469,16.90114746,10.50376917,9.156874131,9.198547832,9.210815219,9.218318707,9.226060183,9.250555563,9.278709628,9.312612663,9.350351145,9.392622428,9.437252441,9.482866521
ARE_OCG_fo..pc,United Arab Emirates,Other Coarse Grains,Per-capita food consumption [kg/p/year],ARE,OCG,FO..PC,6.53E-05,6.23E-05,6.07E-05,6.00E-05,5.95E-05,5.90E-05,5.83E-05,5.74E-05,5.66E-05,5.58E-05,5.52E-05,5.42E-05,5.32E-05,5.22E-05,5.13E-05,5.04E-05,4.97E-05,4.91E-05,4.85E-05,4.80E-05,4.75E-05
ARE_OOS_fo..pc,United Arab Emirates,Other Oilseeds,Per-capita food consumption [kg/p/year],ARE,OOS,FO..PC,3.26E-05,0.034592203,0.041570917,0.001110338,0.00110243,2.95E-05,2.91E-05,2.87E-05,2.83E-05,2.79E-05,2.77E-05,2.73E-05,2.69E-05,2.65E-05,2.61E-05,2.57E-05,2.53E-05,2.51E-05,2.48E-05,2.46E-05,2.43E-05
ARE_PK_fo..pc,United Arab Emirates,Pork,Per-capita food consumption [kg/p/year],ARE,PK,FO..PC,2.28314864,2.17737161,2.396821791,2.428443489,3.056995481,2.466425141,2.372828472,2.233072048,2.2260382,2.181347684,2.148296413,2.118392627,2.091984639,2.067485869,2.043143033,2.019130354,1.995187543,1.971298553,1.947625492,1.924443524,1.901929706
ARE_PS_fo..pc,United Arab Emirates,Pulses,Per-capita food consumption [kg/p/year],ARE,PS,FO..PC,21.32066577,24.86764271,27.25479215,26.43993497,30.45443198,31.08216863,31.61638364,32.11267281,32.5856443,33.07626135,33.3485915,33.60341715,33.84318645,34.09464295,34.36189188,34.64071397,34.93614705,35.2390105,35.55330716,35.87232109,36.19602264
ARE_PT_fo..pc,United Arab Emirates,Poultry,Per-capita food consumption [kg/p/year],ARE,PT,FO..PC,35.77938832,36.84546965,37.73467432,35.98755788,39.15746892,46.39871082,46.65389293,44.49761369,39.33381202,45.58520899,45.82261897,46.03730533,46.33351415,46.68282425,47.08677334,47.50605106,47.93868163,48.38367801,48.84812906,49.32891105,49.82365607
ARE_RI_fo..pc,United Arab Emirates,Rice,Per-capita food consumption [kg/p/year],ARE,RI,FO..PC,76.06836761,76.49716256,76.64126651,76.05818564,77.31035914,77.66840321,77.78103078,77.97752445,78.60304378,79.11516696,79.4433586,79.80835998,80.32713659,80.92391207,81.53423839,82.11774413,82.65782259,83.16410871,83.6475147,84.122191,84.5977691
ARE_RT_fo..pc,United Arab Emirates,Roots tubers,Per-capita food consumption [kg/p/year],ARE,RT,FO..PC,2.408990717,3.12402183,2.588407542,3.513555075,3.553003236,3.585685726,3.606524704,3.622171308,3.634416143,3.647880199,3.617226914,3.582158395,3.545304687,3.508244187,3.473003308,3.440324006,3.410133721,3.382521045,3.356190735,3.331027879,3.305785487
ARE_SH_fo..pc,United Arab Emirates,Sheep,Per-capita food consumption [kg/p/year],ARE,SH,FO..PC,10.54871692,9.706848828,9.807882675,9.586729026,10.71522689,10.89038822,11.22726567,11.50498268,11.66359125,11.30334709,11.3364989,11.2471966,11.20652448,11.16884738,11.1423129,11.12393323,11.11374596,11.11560769,11.12458629,11.13779311,11.15507878
ARE_SU_fo..pc,United Arab Emirates,Sugar,Per-capita food consumption [kg/p/year],ARE,SU,FO..PC,21.03816522,20.98593734,22.02135158,23.87227821,25.90711641,27.52804291,28.37227721,28.6165826,29.34513823,29.95221851,30.17178925,30.26993724,30.46739347,30.67981159,30.94241192,31.20950405,31.48883009,31.75706603,32.01226383,32.26980923,32.5254026
ARE_VL_fo..pc,United Arab Emirates,Vegetable oils,Per-capita food consumption [kg/p/year],ARE,VL,FO..PC,7.027126461,6.613302486,7.561182632,10.59430021,9.134489868,10.20424689,11.79470745,12.01585386,12.79818752,13.30284702,13.39041983,13.38406707,13.39774031,13.41950841,13.45597936,13.49207151,13.53792174,13.58983719,13.64621466,13.70466735,13.7618767
ARE_WT_fo..pc,United Arab Emirates,Wheat,Per-capita food consumption [kg/p/year],ARE,WT,FO..PC,66.4999445,80.71513974,101.1184473,102.7063091,103.6284603,104.8687301,105.7217894,106.381343,106.9001395,106.8984306,106.5433721,105.9517411,105.3914129,104.8297774,104.3648229,103.9204027,103.5155227,103.1387398,102.7856897,102.4419485,102.1067497
ARG_BT_fo..pc,Argentina,Butter,Per-capita food consumption [kg/p/year],ARG,BT,FO..PC,0.88028705,0.653428733,0.790320954,0.782064021,0.797419962,0.858958623,0.873393379,0.383748921,0.563556175,0.56430592,0.563107375,0.562067507,0.561342042,0.560919657,0.560489958,0.56019264,0.560039732,0.559948949,0.559947503,0.560009755,0.560175087
ARG_BV_fo..pc,Argentina,Beef and Veal,Per-capita food consumption [kg/p/year],ARG,BV,FO..PC,39.62151386,38.40235942,40.47606983,44.05616431,40.95582462,41.07889434,39.04144939,39.574717,38.88086761,37.98513533,36.89865637,36.83500617,36.87717488,36.72904049,36.59848299,36.4770299,36.33365976,36.20601589,36.07792189,35.96227825,35.85199799
ARG_EG_fo..pc,Argentina,Eggs,Per-capita food consumption [kg/p/year],ARG,EG,FO..PC,14.26973484,14.63206322,14.78371057,15.20348097,15.85925237,16.39381498,17.18096281,17.04025225,17.25505313,17.46784925,18.10543447,18.10973398,18.11677438,18.10665128,18.11504964,18.11867381,18.11864512,18.13007944,18.13615989,18.13920623,18.1351678
ARG_FH_fo..pc,Argentina,Fish,Per-capita food consumption [kg/p/year],ARG,FH,FO..PC,5.778592448,5.936291103,5.785263716,7.077713747,5.884822033,7.209684988,6.074058137,7.294295906,7.048801893,6.937725805,7.1738347,7.299585836,7.324324032,7.376216501,7.361596805,7.329248524,7.272422014,7.255399473,7.230763439,7.201947603,7.171606045
ARG_MA_fo..pc,Argentina,Maize,Per-capita food consumption [kg/p/year],ARG,MA,FO..PC,33.01076437,31.76147663,32.51021167,36.12851388,29.99729722,33.83600521,35.68363568,36.0223695,36.19507906,36.25966509,36.4402304,36.50669879,36.57935693,36.65392239,36.72749757,36.80046618,36.87179493,36.9443837,37.01704143,37.09031836,37.16240359
