"country","iso3","sex_id","age_id","cause","DALY2030","DALY2030_all","deltaDALY2030_all_hr","DALY2030_all_hr"
"Afghanistan","AFG",2,11,496,0,0,0,0
"Afghanistan","AFG",2,11,497,0,0,0,0
"Afghanistan","AFG",2,11,976,4482.11699446528,33.8548323623815,0.00132917674434716,33.8561615391259
"Afghanistan","AFG",2,12,429,3699.19408665606,8.65730899288013,8.62486765313966e-05,8.65739524155666
"Afghanistan","AFG",2,12,441,1218.85054643487,15.4299140776049,0.000315115900289785,15.4302291935051
"Afghanistan","AFG",2,12,493,0,0,0,0
"Afghanistan","AFG",2,12,495,2875.80937735078,88.9418247976637,0.00974076362858844,88.9515655612923
"Afghanistan","AFG",2,12,496,0,0,0,0
"Afghanistan","AFG",2,12,497,0,0,0,0
"Afghanistan","AFG",2,12,976,5901.16277246529,39.8377823596736,0.00137193650434759,39.8391542961779
"Afghanistan","AFG",2,13,429,13811.7623848638,31.1542724817011,0.000339928209076937,31.1546124099102
"Afghanistan","AFG",2,13,441,3741.96205932424,45.7780688733386,0.000954646495290694,45.7790235198339
"Afghanistan","AFG",2,13,493,54809.1337424881,162.981654627469,0.00542747777808066,162.987082105247
"Afghanistan","AFG",2,13,495,14366.6721546617,297.824799172501,0.0281441421167514,297.852943314617
"Afghanistan","AFG",2,13,496,18305.7411825106,94.4882822042445,0.0063896658792651,94.4946718701237
"Afghanistan","AFG",2,13,497,4990.12834114386,25.7574195020239,0.00174181708769181,25.7591613191116
"Afghanistan","AFG",2,13,976,19270.6921213165,125.600875943964,0.00431628352959557,125.605192227494
"Afghanistan","AFG",2,14,429,20507.4760082711,46.2082060011637,0,46.2082060011637
"Afghanistan","AFG",2,14,441,7762.44543570643,93.123488711869,0.00121316984998881,93.124701881719
"Afghanistan","AFG",2,14,493,146324.560474723,421.147383438243,0.0280546148555388,421.175438053099
"Afghanistan","AFG",2,14,495,29485.6709411287,481.015464211781,0.0333530319664856,481.048817243748
"Afghanistan","AFG",2,14,496,47522.6584065501,252.45965474593,0.0131137725563688,252.472768518486
"Afghanistan","AFG",2,14,497,8098.65406594937,43.0233382969689,0.0022348056904774,43.0255731026594
"Afghanistan","AFG",2,14,976,46750.9048637621,299.800570566134,0.00804705084789342,299.808617616982
"Afghanistan","AFG",2,15,429,11316.5649848289,25.1022537765468,0.000253937434166749,25.102507713981
"Afghanistan","AFG",2,15,441,5623.46625023283,65.4329421882876,0.00127530846400122,65.4342174967516
"Afghanistan","AFG",2,15,493,95490.0238692445,336.050554157938,0.00876828387286353,336.059322441811
"Afghanistan","AFG",2,15,495,23311.8516207324,276.995453080149,0.0164879100740984,277.011940990223
"Afghanistan","AFG",2,15,496,26616.1230512857,132.141908019684,0.00674453724277226,132.148652556927
"Afghanistan","AFG",2,15,497,3962.98514585365,19.6751577086458,0.00100422217229989,19.6761619308181
"Afghanistan","AFG",2,15,976,40816.6230924194,262.693599216981,0.00851983335257992,262.702119050333
