,countries,products,elements,country_codes,,product_codes,,ele_codes,,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021,_2022,_2023,_2024,_2025,_2026,_2027,_2028,_2029,_2030
ALB_SH_FO..PC,Albania,Soybeans,Per-capita food consumption [kg/p/d],3,ALB,15,SH,211,FO..PC,7.135518837,7.709529258,7.85699088,7.73534475,7.719739625,8.031307348,7.960564118,7.999091811,8.049021511,8.223747879,8.231329395,8.190731204,8.185005535,8.178943987,8.170132187,8.162901219,8.154661499,8.151992795,8.15365422,8.155330488,8.16122389
ALB_SU_FO..PC,Albania,Sugar,Per-capita food consumption [kg/p/d],3,ALB,7,SU,211,FO..PC,29.7452728,27.51063083,27.88021875,27.81351951,28.18033877,27.28602207,27.33472741,27.32442664,27.56578491,27.60397421,27.58587585,27.59439085,27.61834382,27.61788101,27.6174083,27.6273083,27.65669907,27.67642875,27.68541301,27.70129571,27.720246
ALB_VL_FO..PC,Albania,Vegetable Oils,Per-capita food consumption [kg/p/d],3,ALB,12,VL,211,FO..PC,4.227926586,4.271108015,4.089897912,4.310048694,4.24769574,4.378838268,4.680913213,4.543837313,4.934308649,4.946514138,4.948163164,4.987762723,5.03316024,5.080779824,5.126176855,5.169199015,5.214557883,5.260788926,5.307644146,5.355358631,5.40396829
ALB_WT_FO..PC,Albania,Wheat and products,Per-capita food consumption [kg/p/d],3,ALB,2,WT,211,FO..PC,161.1601065,162.1395712,161.6458842,161.1396274,161.3881355,161.484581,160.8413962,161.1067481,157.299234,160.3094109,158.4123139,158.0538641,157.6816583,157.2525696,156.8444722,156.4355332,156.0409057,155.6598958,155.3040843,154.9595905,154.6487318
ARE_BT_FO..PC,United Arab Emirates,Bovine,Per-capita food consumption [kg/p/d],225,ARE,19,BT,211,FO..PC,2.480599464,2.185881383,2.221803612,2.189032271,2.602627191,2.518700871,2.435824516,2.722959187,2.4314414,2.386742399,2.418342234,2.42099816,2.420395725,2.420816109,2.421961436,2.422867168,2.422361812,2.420832743,2.418552578,2.415824731,2.412936307
ARE_BV_FO..PC,United Arab Emirates,Butter,Per-capita food consumption [kg/p/d],225,ARE,14,BV,211,FO..PC,11.07471064,11.20040428,11.10684815,11.02548325,11.19483386,11.28839388,11.23363676,11.53837247,11.84386405,11.89225172,12.00939689,12.16167863,12.32846173,12.49092268,12.65144495,12.80867659,12.96074402,13.10320178,13.23097659,13.35769177,13.49455083
ARE_CN_FO..PC,United Arab Emirates,Coconuts,Per-capita food consumption [kg/p/d],225,ARE,11,CN,211,FO..PC,0.12090899,0.115307342,0.11235383,0.111033848,0.110243043,0.10923826,0.107879377,0.106381343,0.104804058,0.103283508,0.101903871,0.100629148,0.099385065,0.098169324,0.096983565,0.0958287,0.094700035,0.09359425,0.092515438,0.091469594,0.090460251
ARE_EG_FO..PC,United Arab Emirates,Eggs,Per-capita food consumption [kg/p/d],225,ARE,20,EG,211,FO..PC,5.421327917,5.017083315,4.902379993,4.726910409,4.820530456,4.652463158,4.811748293,4.720800537,4.686793119,4.667434077,4.643845395,4.645152371,4.640004202,4.632129907,4.628897657,4.621956258,4.61342239,4.602348476,4.591041172,4.579335367,4.567567126
ARE_FH_FO..PC,United Arab Emirates,Fish,Per-capita food consumption [kg/p/d],225,ARE,21,FH,211,FO..PC,26.43148367,25.28727302,29.56329427,29.51537991,31.92052694,29.33281003,29.99949034,30.10750155,31.20194874,31.17161873,31.96080972,31.83406445,32.12750072,32.42588237,32.68164958,33.00274645,33.22351372,33.57731536,33.92770951,34.27184984,34.56619242
ARE_HFCS_FO..PC,United Arab Emirates,HFCS,Per-capita food consumption [kg/p/d],225,ARE,8,HFCS,211,FO..PC,1.552183078,1.480271283,1.442355231,1.425409801,1.415257754,1.402358745,1.384913921,1.365682738,1.345434164,1.325913921,1.308202673,1.291838277,1.275867208,1.260260001,1.245037679,1.230211971,1.215722599,1.201526965,1.187677584,1.174251442,1.161293886
