"","iso3","country","nutrient","units","scenario","year","intake_orig","intake","intake_diff","intake_diff_cap"
"168","BGD","Bangladesh","Zinc","mg/p/d","High",2030,19.070579096,19.070579096,0,0
"169","BRB","Barbados","Calcium","mg/p/d","Base",2030,1262.506919656,1505.76939622276,243.26247656676,217.803035844886
"170","BRB","Barbados","Calcium","mg/p/d","High",2030,1266.004899634,1512.13033549609,246.12543586209,217.803035844886
"171","BRB","Barbados","Iron","mg/p/d","Base",2030,48.082258494,53.534318595536,5.452060101536,3.96167470982138
"172","BRB","Barbados","Iron","mg/p/d","High",2030,48.211596138,53.7074684632917,5.4958723252917,3.96167470982138
"173","BRB","Barbados","Omega-3 fatty acids","g/p/d","Base",2030,3.228991429,6.79434990665363,3.56535847765363,3.53128696217079
"174","BRB","Barbados","Omega-3 fatty acids","g/p/d","High",2030,3.274672452,6.89434610404659,3.61967365204659,3.53128696217079
"175","BRB","Barbados","Protein","g/p/d","Base",2030,207.05579319,199.286093522958,-7.769699667042,-6.27902305249535
"176","BRB","Barbados","Protein","g/p/d","High",2030,210.220465413,200.962283918116,-9.25818149488401,-6.27902305249535
"177","BRB","Barbados","Vitamin A","mg/p/d retinol","Base",2030,1839.802999982,1932.90889695722,93.1058969752198,90.8913862073486
"178","BRB","Barbados","Vitamin A","mg/p/d retinol","High",2030,1838.917141101,1932.399519754,93.4823786530001,90.8913862073486
"179","BRB","Barbados","Vitamin B12","ug/p/d","Base",2030,14.331983956,23.7129321984092,9.3809482424092,8.92886461569528
"180","BRB","Barbados","Vitamin B12","ug/p/d","High",2030,14.535962941,24.0203241334953,9.4843611924953,8.92886461569528
"181","BRB","Barbados","Zinc","mg/p/d","Base",2030,22.614999362,26.2251352908512,3.6101359288512,3.60004538744873
"182","BRB","Barbados","Zinc","mg/p/d","High",2030,22.691670876,26.3280992346163,3.6364283586163,3.60004538744873
"183","BLR","Belarus","Calcium","mg/p/d","Base",2030,1649.041781778,1649.041781778,0,0
"184","BLR","Belarus","Calcium","mg/p/d","High",2030,1649.571680658,1649.571680658,0,0
"185","BLR","Belarus","Iron","mg/p/d","Base",2030,42.581610336,42.581610336,0,0
"186","BLR","Belarus","Iron","mg/p/d","High",2030,42.629124455,42.629124455,0,0
"187","BLR","Belarus","Omega-3 fatty acids","g/p/d","Base",2030,1.426604934,1.426604934,0,0
"188","BLR","Belarus","Omega-3 fatty acids","g/p/d","High",2030,1.457447812,1.457447812,0,0
"189","BLR","Belarus","Protein","g/p/d","Base",2030,216.478074766,216.478074766,0,0
"190","BLR","Belarus","Protein","g/p/d","High",2030,217.800453823,217.800453823,0,0
"191","BLR","Belarus","Vitamin A","mg/p/d retinol","Base",2030,3294.318214091,3294.318214091,0,0
"192","BLR","Belarus","Vitamin A","mg/p/d retinol","High",2030,3289.84856396,3289.84856396,0,0
"193","BLR","Belarus","Vitamin B12","ug/p/d","Base",2030,25.456693657,25.456693657,0,0
"194","BLR","Belarus","Vitamin B12","ug/p/d","High",2030,25.582387583,25.582387583,0,0
"195","BLR","Belarus","Zinc","mg/p/d","Base",2030,28.130377998,28.130377998,0,0
"196","BLR","Belarus","Zinc","mg/p/d","High",2030,28.136434016,28.136434016,0,0
"197","BEL","Belgium","Calcium","mg/p/d","Base",2030,0,0,0,0
"198","BEL","Belgium","Calcium","mg/p/d","High",2030,0,0,0,0
"199","BEL","Belgium","Iron","mg/p/d","Base",2030,0,0,0,0
"200","BEL","Belgium","Iron","mg/p/d","High",2030,0,0,0,0
"201","BEL","Belgium","Omega-3 fatty acids","g/p/d","Base",2030,0,0,0,0
"202","BEL","Belgium","Omega-3 fatty acids","g/p/d","High",2030,0,0,0,0
"203","BEL","Belgium","Protein","g/p/d","Base",2030,0,0,0,0
"204","BEL","Belgium","Protein","g/p/d","High",2030,0,0,0,0
"205","BEL","Belgium","Vitamin A","mg/p/d retinol","Base",2030,0,0,0,0
"206","BEL","Belgium","Vitamin A","mg/p/d retinol","High",2030,0,0,0,0
"207","BEL","Belgium","Vitamin B12","ug/p/d","Base",2030,0,0,0,0
"208","BEL","Belgium","Vitamin B12","ug/p/d","High",2030,0,0,0,0
"209","BEL","Belgium","Zinc","mg/p/d","Base",2030,0,0,0,0
"210","BEL","Belgium","Zinc","mg/p/d","High",2030,0,0,0,0
"211","BLX","Belgium-Luxembourg","Calcium","mg/p/d","Base",2030,0,0,0,0
"212","BLX","Belgium-Luxembourg","Calcium","mg/p/d","High",2030,0,0,0,0
"213","BLX","Belgium-Luxembourg","Iron","mg/p/d","Base",2030,0,0,0,0
"214","BLX","Belgium-Luxembourg","Iron","mg/p/d","High",2030,0,0,0,0
"215","BLX","Belgium-Luxembourg","Omega-3 fatty acids","g/p/d","Base",2030,0,0,0,0
"216","BLX","Belgium-Luxembourg","Omega-3 fatty acids","g/p/d","High",2030,0,0,0,0
"217","BLX","Belgium-Luxembourg","Protein","g/p/d","Base",2030,0,0,0,0
