"iso3c","year","units","scenario","nutrient","nutrient_supply_dis","nutrient_supply"
"AGO","2013","mg/p/d retinol","high","Vitamin A",1162.29366045393,1165.83
"AGO","2013","ug/p/d","base","Vitamin B12",4.12995684955476,2.99
"AGO","2013","ug/p/d","high","Vitamin B12",4.12995684955476,2.99
"AGO","2014","g/p/d","base","Omega-3 fatty acids",1.15451146290857,0.73
"AGO","2014","g/p/d","base","Protein",58.420419844307,58.68
"AGO","2014","g/p/d","high","Omega-3 fatty acids",1.15451146290857,0.73
"AGO","2014","g/p/d","high","Protein",58.420419844307,58.68
"AGO","2014","mg/p/d","base","Calcium",360.439188473186,288.5
"AGO","2014","mg/p/d","base","Iron",14.8444822618014,13.26
"AGO","2014","mg/p/d","base","Zinc",8.44519094914057,7.9
"AGO","2014","mg/p/d","high","Calcium",360.439188473186,288.5
"AGO","2014","mg/p/d","high","Iron",14.8444822618014,13.26
"AGO","2014","mg/p/d","high","Zinc",8.44519094914057,7.9
"AGO","2014","mg/p/d retinol","base","Vitamin A",894.171224321611,902.05
"AGO","2014","mg/p/d retinol","high","Vitamin A",894.171224321611,902.05
"AGO","2014","ug/p/d","base","Vitamin B12",5.6715205005681,4.81
"AGO","2014","ug/p/d","high","Vitamin B12",5.6715205005681,4.81
"AGO","2015","g/p/d","base","Omega-3 fatty acids",0.952628935086052,0.59
"AGO","2015","g/p/d","base","Protein",54.4194144984274,54.64
"AGO","2015","g/p/d","high","Omega-3 fatty acids",0.952628935086052,0.59
"AGO","2015","g/p/d","high","Protein",54.4194144984274,54.64
"AGO","2015","mg/p/d","base","Calcium",327.753755771478,265.28
"AGO","2015","mg/p/d","base","Iron",14.1980991229173,12.84
"AGO","2015","mg/p/d","base","Zinc",8.02815642057759,7.56
"AGO","2015","mg/p/d","high","Calcium",327.753755771478,265.28
"AGO","2015","mg/p/d","high","Iron",14.1980991229173,12.84
"AGO","2015","mg/p/d","high","Zinc",8.02815642057759,7.56
"AGO","2015","mg/p/d retinol","base","Vitamin A",803.623977164671,810.87
"AGO","2015","mg/p/d retinol","high","Vitamin A",803.623977164671,810.87
"AGO","2015","ug/p/d","base","Vitamin B12",4.49705355898559,3.72
"AGO","2015","ug/p/d","high","Vitamin B12",4.49705355898559,3.72
"AGO","2016","g/p/d","base","Omega-3 fatty acids",0.889628197531003,0.57
"AGO","2016","g/p/d","base","Protein",51.2545307737497,51.17
